Product Name,Category,Stock Quantity,Date
Wireless Mouse,Electronics,126,2026/6/1
Mechanical Keyboard,Electronics,10,2026/6/1
Cotton T-shirt,Clothing,245,2026/6/1
Sports Shorts,Clothing,198,2026/6/2
Stainless Steel Cup,Home Goods,163,2026/6/2
Desk Lamp,Home Goods,77,2026/6/2
Bluetooth Headset,Electronics,92,2026/6/3
Canvas Shoes,Clothing,154,2026/6/3
Storage Box,Home Goods,5,2026/6/3
Phone Case,Electronics,320,2026/6/4
Denim Jeans,Clothing,112,2026/6/4
Kitchen Sponge,Home Goods,415,2026/6/4
Power Bank,Electronics,108,2026/6/5
Polo Shirt,Clothing,166,2026/6/5
Floor Mat,Home Goods,83,2026/6/5
Webcam,Electronics,45,2026/6/6
Hoodie,Clothing,131,2026/6/6
Laundry Detergent,Home Goods,267,2026/6/6
USB Cable,Electronics,522,2026/6/7
Socks,Clothing,389,2026/6/7
Pillow,Home Goods,96,2026/6/7
Tablet,Electronics,36,2026/6/8
Jacket,Clothing,78,2026/6/8
Cutting Board,Home Goods,64,2026/6/8
Laptop Stand,Electronics,81,2026/6/9
Skirt,Clothing,142,2026/6/9
Towel Set,Home Goods,179,2026/6/9
Speaker,Electronics,59,2026/6/10
Cap,Clothing,203,2026/6/10
Trash Can,Home Goods,115,2026/6/10
Graphics Card,Electronics,22,2026/6/11
Leggings,Clothing,184,2026/6/11
Soap Dispenser,Home Goods,137,2026/6/11
Monitor,Electronics,41,2026/6/12
Formal Shirt,Clothing,95,2026/6/12
Coat Hanger,Home Goods,486,2026/6/12
Earphones,Electronics,217,2026/6/13
Sweater,Clothing,128,2026/6/13
Bath Towel,Home Goods,152,2026/6/13
Router,Electronics,63,2026/6/14
Running Shoes,Clothing,104,2026/6/14
Plant Pot,Home Goods,71,2026/6/14
Mouse Pad,Electronics,291,2026/6/15
Blouse,Clothing,136,2026/6/15
Food Container,Home Goods,224,2026/6/15
External Hard Drive,Electronics,54,2026/6/16
Winter Coat,Clothing,62,2026/6/16
Window Curtain,Home Goods,48,2026/6/16
Smart Watch,Electronics,73,2026/6/17
Sports Vest,Clothing,171,2026/6/17
