Product Name,Category,Quantity Sold,Unit Price,Date
Wireless Mouse,Electronics,28,25.99,2026-06-01
Mechanical Keyboard,Electronics,15,89.99,2026-06-01
Cotton T-shirt,Clothing,42,19.99,2026-06-01
Sports Shorts,Clothing,36,24.99,2026-06-02
Stainless Steel Cup,Home Goods,22,16.50,2026-06-02
Desk Lamp,Home Goods,18,32.99,2026-06-02
Bluetooth Headset,Electronics,31,59.99,2026-06-03
Canvas Shoes,Clothing,25,45.99,2026-06-03
Storage Box,Home Goods,47,12.99,2026-06-03
Phone Case,Electronics,53,9.99,2026-06-04
Denim Jeans,Clothing,21,59.99,2026-06-04
Kitchen Sponge,Home Goods,62,3.50,2026-06-04
Power Bank,Electronics,29,42.99,2026-06-05
Polo Shirt,Clothing,33,29.99,2026-06-05
Floor Mat,Home Goods,17,18.99,2026-06-05
Webcam,Electronics,12,68.99,2026-06-06
Hoodie,Clothing,27,39.99,2026-06-06
Laundry Detergent,Home Goods,38,14.99,2026-06-06
USB Cable,Electronics,74,4.99,2026-06-07
Socks,Clothing,56,6.99,2026-06-07
Pillow,Home Goods,24,22.99,2026-06-07
Tablet,Electronics,8,299.99,2026-06-08
Jacket,Clothing,19,79.99,2026-06-08
Cutting Board,Home Goods,16,27.99,2026-06-08
Laptop Stand,Electronics,23,35.99,2026-06-09
Skirt,Clothing,30,34.99,2026-06-09
Towel Set,Home Goods,41,15.99,2026-06-09
Speaker,Electronics,14,49.99,2026-06-10
Cap,Clothing,44,12.99,2026-06-10
Trash Can,Home Goods,26,21.99,2026-06-10
Graphics Card,Electronics,5,899.99,2026-06-11
Leggings,Clothing,37,26.99,2026-06-11
Soap Dispenser,Home Goods,32,11.99,2026-06-11
Monitor,Electronics,9,199.99,2026-06-12
Formal Shirt,Clothing,22,49.99,2026-06-12
Coat Hanger,Home Goods,51,2.99,2026-06-12
Earphones,Electronics,45,19.99,2026-06-13
Sweater,Clothing,28,44.99,2026-06-13
Bath Towel,Home Goods,35,17.99,2026-06-13
Router,Electronics,11,79.99,2026-06-14
Running Shoes,Clothing,24,69.99,2026-06-14
Plant Pot,Home Goods,20,13.99,2026-06-14
Mouse Pad,Electronics,66,7.99,2026-06-15
Blouse,Clothing,31,32.99,2026-06-15
Food Container,Home Goods,43,8.99,2026-06-15
External Hard Drive,Electronics,13,89.99,2026-06-16
Winter Coat,Clothing,14,89.99,2026-06-16
Window Curtain,Home Goods,10,45.99,2026-06-16
Smart Watch,Electronics,17,159.99,2026-06-17
Sports Vest,Clothing,39,21.99,2026-06-17
